"rank","title","rating","year","runTime","genre","votes","gross","director","stars","description"
1,"Inception",8.8,2010,148,"Action",1957296,292.58,"Christopher Nolan","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
2,"The Dark Knight Rises",8.4,2012,164,"Action",1457980,448.14,"Christopher Nolan","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
3,"Interstellar",8.6,2014,169,"Adventure",1408138,188.02,"Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
4,"Django Unchained",8.4,2012,165,"Drama",1290828,162.81,"Quentin Tarantino","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
5,"The Avengers",8,2012,143,"Action",1228764,623.28,"Joss Whedon","Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner","Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."
6,"The Wolf of Wall Street",8.2,2013,180,"Biography",1112087,116.9,"Martin Scorsese","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
7,"Shutter Island",8.1,2010,138,"Mystery",1073232,128.01,"Martin Scorsese","Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
8,"Guardians of the Galaxy",8,2014,121,"Action",1009611,333.18,"James Gunn","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana","A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe."
9,"Deadpool",8,2016,108,"Action",869459,363.07,"Tim Miller","Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
10,"Mad Max: Fury Road",8.1,2015,120,"Action",835933,154.06,"George Miller","Tom Hardy, Charlize Theron, Nicholas Hoult, Zo<U+00EB> Kravitz","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
11,"Star Wars: Episode VII - The Force Awakens",7.9,2015,138,"Action",835102,936.66,"J.J. Abrams","Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson","Three decades after the Empire's defeat, a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
12,"The Hunger Games",7.2,2012,142,"Action",820504,408.01,"Gary Ross","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci","Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
13,"Gone Girl",8.1,2014,149,"Drama",814804,167.77,"David Fincher","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
14,"Joker",8.5,2019,122,"Crime",774816,335.45,"Todd Phillips","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
15,"Avengers: Infinity War",8.5,2018,149,"Action",769565,678.82,"Anthony Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
16,"Gravity",7.7,2013,91,"Drama",745171,274.09,"Alfonso Cuar¨®n","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen","Two astronauts work together to survive after an accident leaves them stranded in space."
17,"The Hobbit: An Unexpected Journey",7.8,2012,169,"Adventure",739503,303,"Peter Jackson","Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
18,"Harry Potter and the Deathly Hallows: Part 2",8.1,2011,130,"Adventure",729914,381.01,"David Yates","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
19,"Iron Man Three",7.2,2013,130,"Action",729556,409.01,"Shane Black","Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
20,"Toy Story 3",8.3,2010,103,"Animation",728359,415,"Lee Unkrich","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
21,"The Martian",8,2015,144,"Adventure",726595,228.43,"Ridley Scott","Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
22,"The Intouchables",8.5,2011,112,"Biography",723443,13.18,"Olivier Nakache","Fran<U+00E7>ois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
23,"Thor",7,2011,115,"Action",720662,181.03,"Kenneth Branagh","Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
24,"Captain America: The First Avenger",6.9,2011,124,"Action",711122,176.65,"Joe Johnston","Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
25,"Avengers: Age of Ultron",7.3,2015,141,"Action",710367,459.01,"Joss Whedon","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
26,"Avengers: Endgame",8.4,2019,181,"Action",709103,858.37,"Anthony Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
27,"Captain America: The Winter Soldier",7.7,2014,136,"Action",707813,259.77,"Anthony Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
28,"Iron Man 2",7,2010,124,"Action",695765,312.43,"Jon Favreau","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
29,"Black Swan",8,2010,108,"Drama",677348,106.95,"Darren Aronofsky","Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
30,"The Grand Budapest Hotel",8.1,2014,99,"Adventure",673715,59.1,"Wes Anderson","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
31,"Whiplash",8.5,2014,106,"Drama",672767,13.09,"Damien Chazelle","Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser","A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
32,"The Revenant",8,2015,156,"Action",670966,183.64,"Alejandro G. I<U+00F1>¨¢rritu","Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson","A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."
33,"Man of Steel",7,2013,143,"Action",670842,291.05,"Zack Snyder","Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when survivors of his home planet invade Earth."
34,"The Imitation Game",8,2014,114,"Biography",654669,91.13,"Morten Tyldum","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians."
35,"X-Men: Days of Future Past",8,2014,132,"Action",643580,233.92,"Bryan Singer","Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy","The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants."
36,"Silver Linings Playbook",7.7,2012,122,"Comedy",643339,132.09,"David O. Russell","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
37,"How to Train Your Dragon",8.1,2010,98,"Animation",641710,217.58,"Dean DeBlois","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
38,"Captain America: Civil War",7.8,2016,147,"Action",631368,408.08,"Anthony Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man."
39,"X: First Class",7.7,2011,131,"Action",630670,146.41,"Matthew Vaughn","James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon","In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
40,"The King's Speech",8,2010,118,"Biography",620117,138.8,"Tom Hooper","Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
41,"Skyfall",7.7,2012,143,"Action",613968,304.36,"Sam Mendes","Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
42,"Logan",8.1,2017,137,"Action",612707,226.28,"James Mangold","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
43,"12 Years a Slave",8.1,2013,134,"Biography",612517,56.67,"Steve McQueen","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
44,"Batman v Superman: Dawn of Justice",6.5,2016,151,"Action",603266,330.36,"Zack Snyder","Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
45,"The Social Network",7.7,2010,120,"Biography",597400,96.96,"David Fincher","Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business."
46,"The Hunger Games: Catching Fire",7.5,2013,146,"Action",595810,424.67,"Francis Lawrence","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman","Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem."
47,"The Hobbit: The Desolation of Smaug",7.8,2013,161,"Adventure",584784,258.37,"Peter Jackson","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
48,"World War Z",7,2013,116,"Action",582077,202.36,"Marc Forster","Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale","Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself."
49,"Inside Out 1",8.1,2015,95,"Animation",579351,356.46,"Pete Docter","Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
50,"Black Panther",7.3,2018,134,"Action",578835,700.06,"Ryan Coogler","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
51,"Now You See Me 1",7.3,2013,115,"Crime",576836,117.72,"Louis Leterrier","Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson","An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
52,"Edge of Tomorrow",7.9,2014,113,"Action",576186,100.21,"Doug Liman","Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson","A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
53,"Suicide Squad",6,2016,123,"Action",575893,325.1,"David Ayer","Will Smith, Jared Leto, Margot Robbie, Viola Davis","A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse."
54,"Thor: The Dark World",6.9,2013,112,"Action",573146,206.36,"Alan Taylor","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsg<U+00E5>rd","When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster."
55,"Kingsman: The Secret Service",7.7,2014,129,"Action",571251,128.26,"Matthew Vaughn","Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
56,"Prisoners",8.1,2013,153,"Crime",566771,61,"Denis Villeneuve","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
57,"Doctor Strange",7.5,2016,115,"Action",565514,232.64,"Scott Derrickson","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
58,"Life of Pi",7.9,2012,127,"Adventure",561899,124.99,"Ang Lee","Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
59,"Jurassic World",7,2015,124,"Action",561550,652.27,"Colin Trevorrow","Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
60,"Arrival 2",7.9,2016,116,"Drama",561247,100.55,"Denis Villeneuve","Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg","A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world."
61,"Argo",7.7,2012,120,"Biography",556491,136.03,"Ben Affleck","Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
62,"Ted",6.9,2012,106,"Comedy",556166,218.82,"Seth MacFarlane","Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale","John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori."
63,"Birdman or (The Unexpected Virtue of Ignorance)",7.7,2014,119,"Comedy",555404,42.34,"Alejandro G. I<U+00F1>¨¢rritu","Michael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
64,"Prometheus 1",7,2012,124,"Adventure",554870,126.48,"Ridley Scott","Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron","Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
65,"Frozen 1",7.4,2013,102,"Animation",553014,400.74,"Chris Buck","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
66,"Drive 1",7.8,2011,100,"Crime",549151,35.06,"Nicolas Winding Refn","Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor in this action drama."
67,"Thor: Ragnarok",7.9,2017,130,"Action",547866,315.06,"Taika Waititi","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnar<U+00F6>k, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
68,"The Amazing Spider-Man",6.9,2012,136,"Action",544563,262.03,"Marc Webb","Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
69,"Ant-Man",7.3,2015,117,"Action",542726,180.2,"Peyton Reed","Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world."
70,"Guardians of the Galaxy Vol. 2",7.6,2017,136,"Action",536544,389.81,"James Gunn","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
71,"Star Wars: Episode VIII - The Last Jedi",7,2017,152,"Action",535235,620.18,"Rian Johnson","Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
72,"Rogue One: A Star Wars Story",7.8,2016,133,"Action",527799,532.18,"Gareth Edwards","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans."
73,"Wonder Woman",7.4,2017,141,"Action",525486,412.56,"Patty Jenkins","Gal Gadot, Chris Pine, Robin Wright, Lucy Davis","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
74,"Looper",7.4,2012,113,"Action",519762,66.49,"Rian Johnson","Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
75,"Dunkirk",7.9,2017,106,"Action",514169,188.37,"Christopher Nolan","Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II."
76,"Kick-Ass",7.6,2010,117,"Action",513301,48.07,"Matthew Vaughn","Aaron Taylor-Johnson, Nicolas Cage, Chlo<U+00EB> Grace Moretz, Garrett M. Brown","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
77,"Limitless 1",7.4,2011,105,"Sci-Fi",512731,79.25,"Neil Burger","Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro","With the help of a mysterious pill that enables the user to access 100% of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers."
78,"Her",8,2013,126,"Drama",510641,25.57,"Spike Jonze","Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
79,"John Wick",7.4,2014,101,"Action",506687,43.04,"Chad Stahelski","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him."
80,"21 Jump Street",7.2,2012,109,"Action",496137,138.45,"Phil Lord","Jonah Hill, Channing Tatum, Ice Cube, Brie Larson","A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring."
81,"The Hateful Eight",7.8,2015,168,"Crime",486554,54.12,"Quentin Tarantino","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
82,"Rise of the Planet of the Apes",7.6,2011,105,"Action",486160,176.76,"Rupert Wyatt","James Franco, Andy Serkis, Freida Pinto, Karin Konoval","A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising."
83,"Despicable Me",7.6,2010,95,"Animation",485020,251.51,"Pierre Coffin","Steve Carell, Jason Segel, Russell Brand, Julie Andrews","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
84,"Spider-Man: Homecoming",7.4,2017,133,"Action",481623,334.2,"Jon Watts","Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
85,"La La Land",8,2016,128,"Comedy",475265,151.1,"Damien Chazelle","Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
86,"Oblivion 1",7,2013,124,"Action",471267,89.02,"Joseph Kosinski","Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko","A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself."
87,"Source Code",7.5,2011,93,"Action",470634,54.71,"Duncan Jones","Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright","A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes."
88,"Pirates of the Caribbean: On Stranger Tides",6.6,2011,136,"Action",466269,241.06,"Rob Marshall","Johnny Depp, Pen¨¦lope Cruz, Ian McShane, Geoffrey Rush","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
89,"The Great Gatsby",7.2,2013,143,"Drama",458162,144.84,"Baz Luhrmann","Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
90,"The Hobbit: The Battle of the Five Armies",7.4,2014,144,"Adventure",458039,255.12,"Peter Jackson","Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett","Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness."
91,"Get Out 1",7.7,2017,104,"Horror",457070,176.04,"Jordan Peele","Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
92,"Crazy, Stupid, Love.",7.4,2011,118,"Comedy",455939,84.35,"Glenn Ficarra","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
93,"Pacific Rim",6.9,2013,131,"Action",455841,101.8,"Guillermo del Toro","Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
94,"Once Upon a Time... in Hollywood",7.7,2019,161,"Comedy",455435,142.5,"Quentin Tarantino","Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch","A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles."
95,"Star Trek Into Darkness",7.7,2013,132,"Action",455225,228.78,"J.J. Abrams","Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
96,"Harry Potter and the Deathly Hallows: Part 1",7.7,2010,146,"Adventure",453393,295.98,"David Yates","Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy","As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
97,"Ex Machina",7.7,2014,108,"Drama",452335,25.44,"Alex Garland","Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno","A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I."
98,"The Hangover Part II",6.4,2011,102,"Comedy",450468,254.46,"Todd Phillips","Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha","Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry."
99,"Deadpool 2",7.7,2018,119,"Action",447402,324.59,"David Leitch","Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
100,"Mission: Impossible - Ghost Protocol",7.4,2011,132,"Action",443758,209.4,"Brad Bird","Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."
101,"The Perks of Being a Wallflower",8,2012,103,"Drama",443157,17.74,"Stephen Chbosky","Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd","An introvert freshman is taken under the wings of two seniors who welcome him to the real world."
102,"Nightcrawler",7.9,2014,117,"Crime",437504,32.38,"Dan Gilroy","Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed","When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
