"rank","title","rating","year","runTime","genre","votes","gross","director","stars","description"
195,"Les Mis¨¦rables",7.6,2012,158,"Drama",298638,148.81,"Tom Hooper","Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
196,"True Grit",7.6,2010,110,"Drama",298621,171.24,"Ethan Coen","Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin","A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer."
197,"The Interview 2",6.5,2014,112,"Action",297454,6.11,"Evan Goldberg","James Franco, Seth Rogen, Randall Park, Lizzy Caplan","Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jung-Un, they are recruited by the CIA to assassinate him."
198,"1917",8.3,2019,119,"Drama",297400,159.23,"Sam Mendes","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
199,"Jack Reacher",7,2012,130,"Action",297353,80.07,"Christopher McQuarrie","Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog","A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims."
200,"Hugo",7.5,2011,126,"Drama",295588,73.86,"Martin Scorsese","Asa Butterfield, Chlo<U+00EB> Grace Moretz, Christopher Lee, Ben Kingsley","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton."
201,"How to Train Your Dragon 2",7.8,2014,102,"Animation",294073,177,"Dean DeBlois","Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
202,"Transformers: Age of Extinction",5.6,2014,165,"Action",291953,245.44,"Michael Bay","Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci","When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help."
203,"Knives Out",7.9,2019,131,"Comedy",290655,165.36,"Rian Johnson","Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis","A detective investigates the death of a patriarch of an eccentric, combative family."
204,"Real Steel",7.1,2011,127,"Action",290412,85.47,"Shawn Levy","Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie","In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot."
205,"Fifty Shades of Grey",4.1,2015,125,"Drama",289751,166.17,"Sam Taylor-Johnson","Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
206,"Salt",6.4,2010,100,"Action",287697,118.31,"Phillip Noyce","Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski","A CIA agent goes on the run after a defector accuses her of being a Russian spy."
207,"Spider-Man: Far from Home",7.5,2019,129,"Action",286553,390.53,"Jon Watts","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
208,"The Expendables 2",6.6,2012,103,"Action",285751,85.02,"Simon West","Sylvester Stallone, Liam Hemsworth, Randy Couture, Jean-Claude Van Damme","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
209,"Ant-Man and the Wasp",7.1,2018,118,"Action",285092,216.65,"Peyton Reed","Paul Rudd, Evangeline Lilly, Michael Pe<U+00F1>a, Walton Goggins","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past."
210,"The Secret Life of Walter Mitty",7.3,2013,114,"Comedy",284937,58.24,"Ben Stiller","Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn","When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he could have ever imagined."
211,"The Irishman",7.9,2019,209,"Biography",284402,94.84,"Martin Scorsese","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel","An aging hitman recalls his time with the mob and the intersecting events with his friend, Jimmy Hoffa, through the 1950-70s."
212,"The Book of Eli",6.9,2010,118,"Action",284387,112.2,"Albert Hughes","Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind."
213,"The Hangover Part III",5.8,2013,100,"Comedy",284128,15.32,"Todd Phillips","Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha","When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run."
214,"About Time 1",7.8,2013,123,"Comedy",283896,139.85,"Richard Curtis","Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
215,"Taken 2",6.3,2012,92,"Action",282535,4.56,"Olivier Megaton","Liam Neeson, Famke Janssen, Maggie Grace, Leland Orser","In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter."
216,"Snowpiercer",7.1,2013,126,"Action",282482,90.38,"Bong Joon Ho","Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris","In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges."
217,"RED",7,2010,111,"Action",280448,72.08,"Robert Schwentke","Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants."
218,"10 Cloverfield Lane",7.2,2016,103,"Drama",277793,113.2,"Dan Trachtenberg","John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
219,"The Bourne Legacy",6.7,2012,135,"Action",277532,150.16,"Tony Gilroy","Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn","An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
220,"Neighbors 1",6.3,2014,97,"Comedy",277036,72.31,"Nicholas Stoller","Seth Rogen, Rose Byrne, Zac Efron, Lisa Kudrow","After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down."
221,"Bridge of Spies",7.6,2015,142,"Drama",276267,106.58,"Steven Spielberg","Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
